epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1732.65,0.95495,0.7158,1.31273,0.81188,0.74356,0.80081,0.46902,1.49628,0.97031,2.00504,0.000389455,0.000389455,0.000389455
93,1750.26,0.95388,0.71888,1.31478,0.84027,0.71842,0.78883,0.47442,1.49845,1.01853,1.9859,0.000385888,0.000385888,0.000385888
94,1768.94,0.93567,0.69417,1.30143,0.85003,0.73879,0.82118,0.48899,1.48608,0.94881,1.98506,0.000382322,0.000382322,0.000382322
95,1786.51,0.93924,0.70456,1.29786,0.82015,0.71769,0.78635,0.47318,1.51348,1.05404,2.02832,0.000378756,0.000378756,0.000378756
96,1806.15,0.95233,0.6983,1.30753,0.83235,0.74626,0.81118,0.48127,1.49349,0.97002,2.00068,0.000375189,0.000375189,0.000375189
97,1823.73,0.94466,0.69546,1.29321,0.8582,0.74761,0.80357,0.47605,1.4864,0.9855,2.01741,0.000371623,0.000371623,0.000371623
98,1843.3,0.9212,0.68521,1.28694,0.84913,0.74689,0.8124,0.48708,1.49422,0.97712,2.03119,0.000368056,0.000368056,0.000368056
99,1861.95,0.91375,0.67297,1.28345,0.83963,0.7423,0.81164,0.4937,1.46601,0.98974,1.98238,0.00036449,0.00036449,0.00036449
100,1879.56,0.93171,0.68839,1.29652,0.81679,0.7469,0.80628,0.48189,1.50025,0.99965,2.03131,0.000360923,0.000360923,0.000360923
101,1898.86,0.91414,0.67403,1.28744,0.8493,0.7536,0.81029,0.48042,1.50688,0.98591,2.04404,0.000357357,0.000357357,0.000357357
102,1916.7,0.91769,0.67751,1.28905,0.84431,0.74604,0.80206,0.48461,1.49765,0.99697,1.99456,0.000353791,0.000353791,0.000353791
103,1935.92,0.91731,0.67713,1.27943,0.84231,0.74476,0.81426,0.49024,1.48983,0.95754,2.01921,0.000350224,0.000350224,0.000350224
104,1953.54,0.91381,0.67814,1.27859,0.8562,0.72422,0.80302,0.47242,1.51304,0.97157,2.03821,0.000346658,0.000346658,0.000346658
105,1974.28,0.90162,0.66123,1.27507,0.82353,0.74079,0.7944,0.47549,1.51737,1.01821,2.04209,0.000343091,0.000343091,0.000343091
106,1992.51,0.88994,0.65608,1.27436,0.86471,0.74248,0.81526,0.48906,1.48806,0.94273,2.02621,0.000339525,0.000339525,0.000339525
107,2009.97,0.91152,0.66618,1.27912,0.83519,0.74715,0.81071,0.48691,1.5109,1.00118,2.02659,0.000335958,0.000335958,0.000335958
108,2028.74,0.90552,0.67388,1.27575,0.85964,0.72604,0.80788,0.4878,1.4795,1.00664,2.02897,0.000332392,0.000332392,0.000332392
109,2046.31,0.8968,0.66226,1.26876,0.84657,0.72764,0.79996,0.48362,1.49491,1.02848,2.04344,0.000328826,0.000328826,0.000328826
110,2065.6,0.88491,0.66704,1.26672,0.82681,0.74609,0.80463,0.47597,1.50636,1.00352,2.03309,0.000325259,0.000325259,0.000325259
111,2083.18,0.89196,0.64543,1.26948,0.79511,0.76116,0.79947,0.46763,1.52987,0.98091,2.03665,0.000321693,0.000321693,0.000321693
112,2102.68,0.87362,0.64427,1.25855,0.81683,0.74851,0.79145,0.47058,1.52141,1.04244,2.08016,0.000318126,0.000318126,0.000318126
113,2120.9,0.89167,0.6483,1.25945,0.81348,0.75834,0.80054,0.46687,1.52592,0.98306,2.09895,0.00031456,0.00031456,0.00031456
114,2138.58,0.87298,0.65079,1.26198,0.81958,0.76052,0.80857,0.49003,1.48734,0.96044,2.04055,0.000310993,0.000310993,0.000310993
115,2157.84,0.86027,0.63405,1.25263,0.83798,0.7521,0.80112,0.48604,1.50596,0.97968,2.06742,0.000307427,0.000307427,0.000307427
116,2175.36,0.86962,0.65045,1.25961,0.85478,0.74999,0.80982,0.49085,1.50476,0.96134,2.05793,0.000303861,0.000303861,0.000303861
117,2194.52,0.87393,0.63329,1.25397,0.84113,0.74183,0.80342,0.49137,1.50512,1.00689,2.06847,0.000300294,0.000300294,0.000300294
118,2212,0.8436,0.61777,1.23371,0.85256,0.73732,0.8015,0.48143,1.52617,1.01486,2.09901,0.000296728,0.000296728,0.000296728
119,2231.68,0.86821,0.6249,1.2525,0.84677,0.74159,0.80736,0.48381,1.51319,0.97669,2.08151,0.000293161,0.000293161,0.000293161
120,2250.24,0.84652,0.60418,1.23963,0.84342,0.74321,0.80432,0.48542,1.50358,0.95709,2.06959,0.000289595,0.000289595,0.000289595
121,2267.68,0.84451,0.62342,1.23994,0.84796,0.73437,0.80711,0.48615,1.50103,0.97723,2.0651,0.000286028,0.000286028,0.000286028
122,2286.35,0.85594,0.62354,1.23825,0.85743,0.73049,0.81278,0.48983,1.49621,0.97866,2.09638,0.000282462,0.000282462,0.000282462
123,2303.84,0.83898,0.60771,1.2334,0.84878,0.74571,0.80614,0.48515,1.4963,0.9877,2.102,0.000278896,0.000278896,0.000278896
124,2323.18,0.84774,0.61006,1.2318,0.84831,0.73193,0.80473,0.48018,1.5166,0.98655,2.09818,0.000275329,0.000275329,0.000275329
125,2340.82,0.83842,0.6061,1.22943,0.85067,0.73309,0.80435,0.48642,1.5208,0.98409,2.10938,0.000271763,0.000271763,0.000271763
126,2360.1,0.83917,0.61642,1.2359,0.82931,0.76489,0.81199,0.48889,1.49309,0.95749,2.08764,0.000268196,0.000268196,0.000268196
127,2378.29,0.84097,0.60979,1.23198,0.84728,0.73578,0.80696,0.48459,1.53316,1.02023,2.13628,0.00026463,0.00026463,0.00026463
128,2395.8,0.82156,0.6022,1.22774,0.83968,0.74428,0.80825,0.48826,1.5081,0.99002,2.10245,0.000261063,0.000261063,0.000261063
129,2414.54,0.80926,0.58527,1.21097,0.84793,0.73748,0.80985,0.48052,1.52006,0.98926,2.11446,0.000257497,0.000257497,0.000257497
130,2432.07,0.81343,0.58566,1.20666,0.86183,0.72424,0.81403,0.48966,1.50678,0.97315,2.12102,0.000253931,0.000253931,0.000253931
131,2451.73,0.82324,0.60104,1.21823,0.84025,0.75,0.80564,0.48511,1.52433,0.96925,2.14345,0.000250364,0.000250364,0.000250364
132,2469.37,0.81552,0.5852,1.21216,0.83927,0.75027,0.81361,0.49299,1.50879,0.96368,2.13448,0.000246798,0.000246798,0.000246798
133,2489.15,0.82215,0.5963,1.22118,0.81903,0.77082,0.81441,0.49034,1.50818,0.95365,2.12617,0.000243231,0.000243231,0.000243231
134,2507.96,0.8026,0.57155,1.20348,0.85144,0.75438,0.80681,0.48556,1.51994,0.96093,2.13658,0.000239665,0.000239665,0.000239665
135,2525.57,0.81809,0.59222,1.21618,0.81115,0.76681,0.80747,0.48571,1.52207,0.98356,2.15281,0.000236098,0.000236098,0.000236098
136,2544.42,0.80514,0.58565,1.20868,0.84856,0.75461,0.82182,0.49593,1.51241,0.93289,2.14462,0.000232532,0.000232532,0.000232532
137,2562.3,0.80175,0.57864,1.20197,0.8488,0.74909,0.81669,0.48773,1.51468,0.95133,2.14512,0.000228966,0.000228966,0.000228966
138,2581.52,0.80833,0.57899,1.20864,0.83902,0.74413,0.8126,0.4936,1.50413,0.97556,2.13934,0.000225399,0.000225399,0.000225399
139,2599.02,0.81218,0.58579,1.21459,0.84584,0.75825,0.81856,0.49203,1.51346,0.95723,2.18204,0.000221833,0.000221833,0.000221833
140,2619.11,0.79613,0.57873,1.20934,0.8425,0.75348,0.81849,0.49547,1.50003,0.97559,2.15203,0.000218266,0.000218266,0.000218266
141,2637.31,0.78768,0.56349,1.19323,0.83699,0.74472,0.81042,0.48952,1.51308,0.97539,2.18734,0.0002147,0.0002147,0.0002147
142,2654.77,0.78438,0.56577,1.19469,0.85843,0.74536,0.81747,0.49284,1.50593,0.94577,2.15054,0.000211133,0.000211133,0.000211133
143,2674.25,0.7848,0.56903,1.19395,0.85858,0.74646,0.81648,0.49354,1.50334,0.94411,2.16366,0.000207567,0.000207567,0.000207567
144,2692.03,0.77755,0.56284,1.19296,0.82765,0.76215,0.81582,0.4906,1.5205,0.97053,2.17418,0.000204001,0.000204001,0.000204001
145,2711.05,0.78892,0.57035,1.20119,0.83086,0.75287,0.81119,0.49091,1.51226,0.96946,2.15016,0.000200434,0.000200434,0.000200434
146,2728.54,0.77291,0.56263,1.19102,0.82789,0.75354,0.80446,0.48616,1.50521,0.97253,2.15809,0.000196868,0.000196868,0.000196868
147,2749.11,0.7798,0.55871,1.19439,0.84343,0.75255,0.81475,0.49174,1.50102,0.96124,2.14719,0.000193301,0.000193301,0.000193301
148,2767.23,0.77417,0.5531,1.19494,0.80261,0.76773,0.81037,0.48948,1.50401,0.98412,2.13918,0.000189735,0.000189735,0.000189735
149,2784.93,0.7701,0.54799,1.18609,0.82286,0.76078,0.81282,0.48859,1.51766,0.98559,2.15611,0.000186168,0.000186168,0.000186168
150,2803.94,0.76633,0.54449,1.18031,0.83679,0.76437,0.8173,0.49251,1.52245,0.98305,2.17584,0.000182602,0.000182602,0.000182602
151,2821.49,0.75557,0.55009,1.18028,0.85589,0.74754,0.81678,0.49307,1.50476,0.97552,2.16595,0.000179035,0.000179035,0.000179035
152,2840.82,0.77293,0.55708,1.18825,0.82481,0.77835,0.81439,0.49152,1.5204,0.97906,2.19092,0.000175469,0.000175469,0.000175469
153,2858.3,0.75685,0.54797,1.18292,0.82675,0.77049,0.82196,0.49852,1.51171,0.97244,2.18655,0.000171903,0.000171903,0.000171903
154,2879.4,0.75883,0.54008,1.17871,0.83465,0.7554,0.80958,0.49086,1.51259,0.97916,2.19716,0.000168336,0.000168336,0.000168336
155,2897.9,0.74854,0.5348,1.17208,0.84761,0.75059,0.8179,0.48869,1.52345,0.96881,2.19856,0.00016477,0.00016477,0.00016477
156,2916.11,0.75752,0.55103,1.17657,0.84082,0.75745,0.81175,0.48546,1.52853,0.98478,2.20241,0.000161203,0.000161203,0.000161203
157,2934.88,0.75599,0.54153,1.1763,0.81464,0.76775,0.81182,0.48807,1.528,0.98394,2.20807,0.000157637,0.000157637,0.000157637
158,2952.34,0.7451,0.53677,1.16656,0.83584,0.74917,0.81413,0.48868,1.53021,0.98535,2.22724,0.00015407,0.00015407,0.00015407
159,2971.49,0.72768,0.53091,1.16022,0.84965,0.75027,0.81795,0.49057,1.51831,0.97554,2.22005,0.000150504,0.000150504,0.000150504
160,2989.27,0.75319,0.53611,1.17518,0.84634,0.75718,0.81435,0.49071,1.51948,0.98847,2.19985,0.000146938,0.000146938,0.000146938
161,3008.78,0.7317,0.52394,1.16031,0.8471,0.75476,0.8125,0.48927,1.51095,0.97787,2.19834,0.000143371,0.000143371,0.000143371
162,3027.23,0.74664,0.53659,1.17561,0.85998,0.74851,0.81449,0.48692,1.51578,0.96575,2.20452,0.000139805,0.000139805,0.000139805
163,3044.73,0.7403,0.53342,1.16273,0.84792,0.7625,0.82066,0.49348,1.51238,0.96239,2.20365,0.000136238,0.000136238,0.000136238
164,3063.59,0.7346,0.51681,1.16185,0.83977,0.7722,0.82346,0.49327,1.51804,0.96889,2.2125,0.000132672,0.000132672,0.000132672
165,3081.09,0.74004,0.5325,1.16904,0.85417,0.75986,0.82497,0.49544,1.51648,0.9607,2.20451,0.000129105,0.000129105,0.000129105
166,3100.77,0.73165,0.52401,1.16436,0.81278,0.77795,0.81846,0.49751,1.51559,0.96885,2.2049,0.000125539,0.000125539,0.000125539
167,3118.25,0.73228,0.52222,1.1596,0.84213,0.75273,0.82279,0.49752,1.5168,0.97066,2.20744,0.000121973,0.000121973,0.000121973
168,3137.49,0.73366,0.53071,1.15839,0.85299,0.74846,0.81636,0.49437,1.51587,0.96079,2.2193,0.000118406,0.000118406,0.000118406
169,3156.24,0.72049,0.51686,1.15364,0.86959,0.73978,0.81974,0.49312,1.51484,0.95117,2.2223,0.00011484,0.00011484,0.00011484
170,3173.8,0.71576,0.51035,1.14837,0.85609,0.75649,0.82195,0.49593,1.5154,0.95013,2.23249,0.000111273,0.000111273,0.000111273
171,3192.62,0.71218,0.5114,1.15253,0.84516,0.76867,0.82027,0.4945,1.52615,0.96131,2.24486,0.000107707,0.000107707,0.000107707
172,3210.07,0.71823,0.50598,1.14982,0.85513,0.76308,0.82226,0.49345,1.52233,0.96241,2.23809,0.00010414,0.00010414,0.00010414
173,3229.84,0.72304,0.51888,1.15449,0.85342,0.75542,0.81796,0.49637,1.52489,0.97207,2.23913,0.000100574,0.000100574,0.000100574
174,3247.27,0.6965,0.49726,1.14563,0.83772,0.76949,0.81933,0.49463,1.52567,0.97074,2.25324,9.70076e-05,9.70076e-05,9.70076e-05
175,3266.45,0.71089,0.50277,1.15282,0.87734,0.73339,0.81731,0.49372,1.52614,0.9877,2.25681,9.34412e-05,9.34412e-05,9.34412e-05
176,3284.99,0.70781,0.50357,1.14593,0.87468,0.73081,0.82067,0.49685,1.51998,0.98367,2.25804,8.98747e-05,8.98747e-05,8.98747e-05
177,3302.53,0.69255,0.48937,1.14276,0.8459,0.75534,0.81996,0.49891,1.51716,0.98554,2.24646,8.63083e-05,8.63083e-05,8.63083e-05
178,3321.37,0.7034,0.50206,1.14043,0.83494,0.77496,0.82376,0.49648,1.52444,0.97647,2.26162,8.27419e-05,8.27419e-05,8.27419e-05
